account,sale_month,gained_locations,lost_locations,net_location_change
WEBSTER,2024-09-01 00:00:00,5,4,1
TAMA,2024-09-01 00:00:00,2,3,-1
HARDIN,2024-09-01 00:00:00,3,2,1
BUTLER,2024-09-01 00:00:00,2,3,-1
HOWARD,2024-09-01 00:00:00,1,0,1
DECATUR,2024-09-01 00:00:00,0,1,-1
BOONE,2024-09-01 00:00:00,2,3,-1
MARION,2024-09-01 00:00:00,2,1,1
EMMET,2024-09-01 00:00:00,2,3,-1
UNION,2024-09-01 00:00:00,3,2,1
HENRY,2024-09-01 00:00:00,1,2,-1
,2024-09-01 00:00:00,1,0,1
AUDUBON,2024-09-01 00:00:00,1,0,1
BENTON,2024-09-01 00:00:00,0,1,-1
APPANOOSE,2024-09-01 00:00:00,2,1,1
CHEROKEE,2024-09-01 00:00:00,1,0,1
BUCHANAN,2024-09-01 00:00:00,1,2,-1
HARRISON,2024-09-01 00:00:00,1,2,-1
SHELBY,2024-09-01 00:00:00,0,1,-1
JONES,2024-09-01 00:00:00,1,0,1
ADAMS,2024-09-01 00:00:00,0,1,-1
JOHNSON,2024-09-01 00:00:00,11,10,1
DICKINSON,2024-09-01 00:00:00,2,1,1
LYON,2024-09-01 00:00:00,0,1,-1
POWESHIEK,2024-09-01 00:00:00,6,5,1
CLARKE,2024-09-01 00:00:00,1,0,1
KOSSUTH,2024-09-01 00:00:00,1,1,0
BUENA VISTA,2024-09-01 00:00:00,3,3,0
SIOUX,2024-09-01 00:00:00,4,4,0
TAYLOR,2024-09-01 00:00:00,1,1,0
RINGGOLD,2024-09-01 00:00:00,0,0,0
WAYNE,2024-09-01 00:00:00,0,0,0
GUTHRIE,2024-09-01 00:00:00,2,2,0
GRUNDY,2024-09-01 00:00:00,0,0,0
CERRO GORDO,2024-09-01 00:00:00,6,6,0
WINNEBAGO,2024-09-01 00:00:00,2,2,0
FREMONT,2024-09-01 00:00:00,1,1,0
MAHASKA,2024-09-01 00:00:00,1,1,0
OSCEOLA,2024-09-01 00:00:00,0,0,0
CLAY,2024-09-01 00:00:00,0,0,0
CHICKASAW,2024-09-01 00:00:00,1,1,0
DELAWARE,2024-09-01 00:00:00,0,0,0
WAPELLO,2024-09-01 00:00:00,4,4,0
SCOTT,2024-09-01 00:00:00,12,12,0
MONTGOMERY,2024-09-01 00:00:00,1,1,0
DES MOINES,2024-09-01 00:00:00,7,7,0
POCAHONTAS,2024-09-01 00:00:00,1,1,0
MADISON,2024-09-01 00:00:00,1,1,0
CLAYTON,2024-09-01 00:00:00,2,2,0
HUMBOLDT,2024-09-01 00:00:00,1,1,0
WORTH,2024-09-01 00:00:00,1,1,0
MONROE,2024-09-01 00:00:00,1,1,0
WARREN,2024-09-01 00:00:00,6,6,0
FRANKLIN,2024-09-01 00:00:00,1,1,0
O'BRIEN,2024-09-01 00:00:00,2,2,0
FLOYD,2024-09-01 00:00:00,1,1,0
JACKSON,2024-09-01 00:00:00,2,2,0
WOODBURY,2024-08-01 00:00:00,7,18,-11
POLK,2024-08-01 00:00:00,53,43,10
POTTAWATTAMIE,2024-08-01 00:00:00,6,13,-7
DUBUQUE,2024-08-01 00:00:00,6,12,-6
BREMER,2024-08-01 00:00:00,0,6,-6
BLACK HAWK,2024-08-01 00:00:00,8,14,-6
MONONA,2024-08-01 00:00:00,0,4,-4
MITCHELL,2024-08-01 00:00:00,4,0,4
HENRY,2024-08-01 00:00:00,3,7,-4
CERRO GORDO,2024-08-01 00:00:00,5,1,4
DES MOINES,2024-08-01 00:00:00,7,3,4
MARSHALL,2024-08-01 00:00:00,2,6,-4
CLARKE,2024-08-01 00:00:00,1,4,-3
FLOYD,2024-08-01 00:00:00,1,4,-3
PLYMOUTH,2024-08-01 00:00:00,5,2,3
IOWA,2024-08-01 00:00:00,3,6,-3
MUSCATINE,2024-08-01 00:00:00,6,3,3
POWESHIEK,2024-08-01 00:00:00,3,6,-3
CRAWFORD,2024-08-01 00:00:00,3,0,3
EMMET,2024-08-01 00:00:00,3,0,3
ADAIR,2024-08-01 00:00:00,3,0,3
JOHNSON,2024-08-01 00:00:00,13,16,-3
DICKINSON,2024-08-01 00:00:00,3,6,-3
BUENA VISTA,2024-08-01 00:00:00,4,1,3
CASS,2024-08-01 00:00:00,1,4,-3
HAMILTON,2024-08-01 00:00:00,4,1,3
WARREN,2024-08-01 00:00:00,5,7,-2
O'BRIEN,2024-08-01 00:00:00,1,3,-2
PAGE,2024-08-01 00:00:00,3,1,2
WINNESHIEK,2024-08-01 00:00:00,4,2,2
MADISON,2024-08-01 00:00:00,0,2,-2
CLAYTON,2024-08-01 00:00:00,2,4,-2
WINNEBAGO,2024-08-01 00:00:00,3,1,2
LUCAS,2024-08-01 00:00:00,0,2,-2
MARION,2024-08-01 00:00:00,2,4,-2
SCOTT,2024-08-01 00:00:00,13,15,-2
JONES,2024-08-01 00:00:00,0,2,-2
SHELBY,2024-08-01 00:00:00,2,0,2
DELAWARE,2024-08-01 00:00:00,1,3,-2
MAHASKA,2024-08-01 00:00:00,0,2,-2
APPANOOSE,2024-08-01 00:00:00,1,3,-2
GREENE,2024-08-01 00:00:00,1,3,-2
HARDIN,2024-08-01 00:00:00,2,0,2
BUTLER,2024-08-01 00:00:00,2,0,2
IDA,2024-08-01 00:00:00,0,2,-2
CLINTON,2024-08-01 00:00:00,7,5,2
WEBSTER,2024-08-01 00:00:00,3,5,-2
CEDAR,2024-08-01 00:00:00,1,2,-1
JACKSON,2024-08-01 00:00:00,2,1,1
